ENSP00000000412	ENSG00000003056	M6PR	ENSDARP00000018076	ENSDARG00000018432	m6pr
ENSP00000002125	ENSG00000003509	NDUFAF7	ENSDARP00000067396	ENSDARG00000033134	ndufaf7
ENSP00000002596	ENSG00000002587	HS3ST1	ENSDARP00000051585	ENSDARG00000035578	hs3st1l2
ENSP00000003100	ENSG00000001630	CYP51A1	ENSDARP00000062550	ENSDARG00000042641	cyp51
ENSP00000005257	ENSG00000006451	RALA	ENSDARP00000066862	ENSDARG00000045463	ralaa
ENSP00000005260	ENSG00000006453	BAIAP2L1	ENSDARP00000092732	ENSDARG00000031119	baiap2l1b
ENSP00000005284	ENSG00000006116	CACNG3	ENSDARP00000098491	ENSDARG00000076401	cacng3b
ENSP00000005386	ENSG00000005175	RPAP3	ENSDARP00000107727	ENSDARG00000087962	rpap3
ENSP00000005587	ENSG00000005020	SKAP2	ENSDARP00000052659	ENSDARG00000000906	skap2
ENSP00000006015	ENSG00000005073	HOXA11	ENSDARP00000005174	ENSDARG00000007009	hoxa11b
ENSP00000006526	ENSG00000005448	WDR54	ENSDARP00000019506	ENSDARG00000010248	wdr54
ENSP00000006777	ENSG00000005486	RHBDD2	ENSDARP00000113874	ENSDARG00000092463	rhbdd2
ENSP00000007390	ENSG00000007520	TSR3	ENSDARP00000056302	ENSDARG00000038567	tsr3
ENSP00000007516	ENSG00000004779	NDUFAB1	ENSDARP00000012558	ENSDARG00000014915	ndufab1b
ENSP00000007969	ENSG00000010626	LRRC23	ENSDARP00000004624	ENSDARG00000006174	lrrc23
ENSP00000008391	ENSG00000008197	TFAP2D	ENSDARP00000028710	ENSDARG00000023272	tfap2d
ENSP00000009041	ENSG00000010270	STARD3NL	ENSDARP00000066788	ENSDARG00000045421	stard3nl
ENSP00000009105	ENSG00000008118	CAMK1G	ENSDARP00000011264	ENSDARG00000008788	camk1gb
ENSP00000009530	ENSG00000019582	CD74	ENSDARP00000002547	ENSDARG00000009087	cd74a
ENSP00000012443	ENSG00000011485	PPP5C	ENSDARP00000106662	ENSDARG00000034313	ppp5c
